Team,Win_Prob,Draw_Prob,Loss_Prob,predicted_points,predicted_position,winning_league_prob,winning_league_odds,top_4_prob,top_4_odds,relegation_prob,relegation_odds,winning_league_risk,top_4_risk,relegation_risk
Manchester City,0.68421,0.16316,0.15263,84.13,1.0,0.73798,1.52404,0.98976,1.01365,0.26202,6.16588,0.07841566315628411,0.07841540293503174,0.024744850017046193
Chelsea,0.57895,0.22105,0.2,74.31,2.0,0.65184,2.04447,0.87424,1.20961,0.34816,5.56289,0.06926267090136892,0.06926313637843735,0.032879806816024745
Liverpool,0.56316,0.25789,0.17895,73.9,3.0,0.64825,2.40702,0.86941,1.26118,0.35175,5.53772,0.0688812076764427,0.0688804714938429,0.03321884204830165
Tottenham Hotspurs,0.57895,0.2,0.22105,73.5,4.0,0.64474,2.77632,0.86471,1.31569,0.35526,4.86842,0.06850824502477387,0.06850810607819198,0.033550322177909445
Arsenal,0.55263,0.20526,0.24211,70.72,5.0,0.62035,3.27789,0.832,1.448,0.37965,4.72211,0.06591663275292128,0.06591660123862998,0.035853684104158415
Manchester United,0.53158,0.25789,0.21053,70.47,6.0,0.61816,3.67289,0.82906,1.51282,0.38184,4.70895,0.06568392955999972,0.06568367478713771,0.03606050503972567
Wolverhampton Wanderers,0.42105,0.23684,0.34211,57.08,7.0,0.5007,4.99439,0.67153,2.0949,0.4993,3.50351,0.053202962874808885,0.05320309522809758,0.047153284533666004
Leicester City,0.38421,0.24211,0.37368,52.89,8.0,0.46395,5.82447,0.62224,2.38514,0.53605,3.31974,0.049298012034686596,0.04929801196481385,0.05062390982229453
Everton,0.35789,0.28421,0.35789,51.47,9.0,0.45149,6.48509,0.60553,2.57788,0.54851,3.25746,0.047974047749845136,0.04797413407214857,0.0518006170630105
West Ham United,0.34211,0.27895,0.37895,49.64,10.0,0.43544,7.21018,0.584,2.80267,0.56456,2.74175,0.04626862024007745,0.04626838356173066,0.053316359536003353
Southampton,0.33684,0.27368,0.38947,48.98,11.0,0.42965,7.84421,0.57624,2.97757,0.57035,2.7186,0.04565339125057247,0.045653584492485744,0.05386316009168116
Crystal Palace,0.32105,0.21579,0.46316,44.64,12.0,0.39158,8.90947,0.52518,3.37412,0.60842,2.56632,0.04160818095170293,0.04160826999820155,0.057458444574350225
Bournemoth,0.30921,0.23684,0.45395,44.19,13.0,0.38763,9.57316,0.51988,3.56063,0.61237,2.16289,0.04118846514711837,0.041188368572042014,0.05783147776863819
Watford,0.31579,0.21053,0.47368,44.1,14.0,0.38684,10.19737,0.51882,3.72667,0.61316,2.16053,0.04110452198620145,0.0411043882868101,0.05790608440749579
Burnley,0.28289,0.25,0.46711,41.81,15.0,0.36675,11.13193,0.49188,4.04871,0.63325,2.10026,0.038969815526934605,0.03897002141497274,0.05980335956527938
Newcastle United,0.28289,0.23684,0.48026,41.27,16.0,0.36202,11.8457,0.48553,4.25831,0.63798,1.72404,0.03846721913309029,0.0384669319704231,0.060250055010591295
Norwich City,0.25658,0.26974,0.47368,39.42,17.0,0.34579,12.77579,0.46376,4.5749,0.65421,1.69158,0.036742665333493435,0.03674216705580173,0.061782796464589694
Sheffield United,0.26316,0.21053,0.52632,38.04,18.0,0.33368,13.66,0.44753,4.86729,0.66632,1.66737,0.03545589105665314,0.03545631797154336,0.06292645013112824
Brighton,0.23684,0.28947,0.47368,37.91,19.0,0.33254,14.34912,0.446,5.06267,0.66746,1.33254,0.03533475788773506,0.03533510114474636,0.06303411034416326
Aston Villa,0.21053,0.27368,0.51579,34.4,20.0,0.30175,15.66316,0.40471,5.56392,0.69825,1.30175,0.03206309975528975,0.03206383135491099,0.06594188048394209
